title,description,category,resolution,priority
Support required: i need access to an internal system,I am having trouble because I need access to an internal system.,Access Management,Unlock the account and confirm the user's permissions.,High
Problem with i cannot save files to the shared drive,Our team is facing the following issue: I cannot save files to the shared drive.,Storage,Verify storage connectivity and available disk capacity.,Low
Problem with the application will not open,Our team is facing the following issue: the application will not open.,Application,Check the application logs and install the latest available update.,Medium
An internal service has stopped working,Something appears to be wrong because an internal service has stopped working.,Infrastructure,Check server health and review the infrastructure logs.,High
Support required: the application is extremely slow,I need assistance with this problem: the application is extremely slow.,Application,Check the application logs and install the latest available update.,High
Unable to resolve: my login credentials are not working,This started happening today: my login credentials are not working.,Access Management,Reset the password and verify account access.,Low
Unable to resolve: i noticed a suspicious login on my account,Can someone help me resolve this? I noticed a suspicious login on my account.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Issue reported: storage capacity has been exhausted,This issue is preventing me from working: storage capacity has been exhausted.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Problem with files cannot be uploaded to the storage system,Something appears to be wrong because files cannot be uploaded to the storage system.,Storage,Verify storage connectivity and available disk capacity.,Medium
Support required: files cannot be uploaded to the storage system,I need assistance with this problem: files cannot be uploaded to the storage system.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Unable to resolve: the database connection is failing,I need technical support because the database connection is failing.,Database,Check database permissions and escalate to database support if required.,Low
I think my account may have been compromised,I need assistance with this problem: I think my account may have been compromised.,Security,Report the suspicious activity to the security team immediately.,High
Support required: database queries are taking too long,Please help me. database queries are taking too long.,Database,Check database connectivity and review the database server logs.,Medium
Issue reported: one of our business applications is behaving incorrectly,Please help me. one of our business applications is behaving incorrectly.,Application,Check the application logs and install the latest available update.,Low
Support required: i am unable to sign in with my company credentials,Please help me. I am unable to sign in with my company credentials.,Access Management,Verify access permissions and escalate to access management if required.,Low
Unable to resolve: our application cannot retrieve database records,This issue is preventing me from working: our application cannot retrieve database records.,Database,Check database connectivity and review the database server logs.,Medium
Support required: one of our business applications is behaving incorrectly,Our team is facing the following issue: one of our business applications is behaving incorrectly.,Application,Restart the application and check whether the problem continues.,High
Support required: i cannot log into my company account,I am unable to continue my work because I cannot log into my company account.,Access Management,Reset the password and verify account access.,High
Problem with the application becomes unresponsive,Something appears to be wrong because the application becomes unresponsive.,Application,Verify the application configuration and escalate to application support if required.,Low
Issue reported: my login credentials are not working,I need technical support because my login credentials are not working.,Access Management,Reset the password and verify account access.,Medium
Issue reported: a business server is currently offline,I would like to report a problem where a business server is currently offline.,Infrastructure,Verify server availability and restart the affected service if required.,High
Unable to resolve: i need permission to access a company application,Our team is facing the following issue: I need permission to access a company application.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Unable to resolve: i cannot access the company network,I need assistance with this problem: I cannot access the company network.,Network,Verify VPN settings and escalate to network support if required.,Low
Wi-fi keeps disconnecting,This started happening today: Wi-Fi keeps disconnecting.,Network,Verify VPN settings and escalate to network support if required.,Medium
Problem with i need my account access restored,This issue is preventing me from working: I need my account access restored.,Access Management,Unlock the account and confirm the user's permissions.,High
Issue reported: i am unable to access files on the shared drive,Something appears to be wrong because I am unable to access files on the shared drive.,Storage,Check storage permissions and escalate to storage support if needed.,High
Support required: the disk is running out of space,Our team is facing the following issue: the disk is running out of space.,Storage,Check storage permissions and escalate to storage support if needed.,Low
The internal server is unavailable,I am having trouble because the internal server is unavailable.,Infrastructure,Check server health and review the infrastructure logs.,Low
Issue reported: the application will not open,Can someone help me resolve this? the application will not open.,Application,Check the application logs and install the latest available update.,High
Issue reported: my account is locked,Can someone help me resolve this? my account is locked.,Access Management,Reset the password and verify account access.,Medium
The network connection keeps failing,I need technical support because the network connection keeps failing.,Network,Check network connectivity and restart the network adapter.,Medium
Unable to resolve: my account is locked,"I have been trying to fix this, but my account is locked.",Access Management,Unlock the account and confirm the user's permissions.,High
Support required: i cannot save files to the shared drive,Please help me. I cannot save files to the shared drive.,Storage,Verify storage connectivity and available disk capacity.,High
I cannot access the company network,Our team is facing the following issue: I cannot access the company network.,Network,Check network connectivity and restart the network adapter.,Low
Problem with the application displays an unexpected error,Something appears to be wrong because the application displays an unexpected error.,Application,Verify the application configuration and escalate to application support if required.,Medium
Problem with our application cannot retrieve database records,Please help me. our application cannot retrieve database records.,Database,Verify database availability and investigate slow-running queries.,High
Problem with the network connection keeps failing,I am unable to continue my work because the network connection keeps failing.,Network,Verify VPN settings and escalate to network support if required.,Low
I am unable to sign in with my company credentials,Something appears to be wrong because I am unable to sign in with my company credentials.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Issue reported: the internal server keeps disconnecting,I am having trouble because the internal server keeps disconnecting.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
I am unable to connect to internal network resources,I need technical support because I am unable to connect to internal network resources.,Network,Verify VPN settings and escalate to network support if required.,Medium
Unable to resolve: my network connection becomes unstable during work,I am having trouble because my network connection becomes unstable during work.,Network,Verify VPN settings and escalate to network support if required.,Medium
Issue reported: storage capacity has been exhausted,Our team is facing the following issue: storage capacity has been exhausted.,Storage,Verify storage connectivity and available disk capacity.,Medium
Database queries are taking too long,This started happening today: database queries are taking too long.,Database,Verify database availability and investigate slow-running queries.,Medium
The application will not open,Our team is facing the following issue: the application will not open.,Application,Verify the application configuration and escalate to application support if required.,High
Unable to resolve: a business server is currently offline,I need assistance with this problem: a business server is currently offline.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Unable to resolve: i cannot access the company network,Can someone help me resolve this? I cannot access the company network.,Network,Restart the VPN client and verify the network connection.,Medium
Support required: my existing account does not have the required access,This started happening today: my existing account does not have the required access.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Unable to resolve: the company-hosted service is not responding,I need technical support because the company-hosted service is not responding.,Infrastructure,Verify server availability and restart the affected service if required.,Low
Support required: the internal server is unavailable,I am unable to continue my work because the internal server is unavailable.,Infrastructure,Check server health and review the infrastructure logs.,High
Unable to resolve: the internal server keeps disconnecting,Please help me. the internal server keeps disconnecting.,Infrastructure,Check server health and review the infrastructure logs.,Low
Problem with i cannot access the company network,"I have been trying to fix this, but I cannot access the company network.",Network,Verify VPN settings and escalate to network support if required.,Medium
Problem with our application cannot retrieve database records,I need technical support because our application cannot retrieve database records.,Database,Verify database availability and investigate slow-running queries.,Low
Unable to resolve: the application becomes unresponsive,"I have been trying to fix this, but the application becomes unresponsive.",Application,Restart the application and check whether the problem continues.,Medium
Problem with the application closes immediately after opening,Our team is facing the following issue: the application closes immediately after opening.,Application,Restart the application and check whether the problem continues.,Medium
Issue reported: the application becomes unresponsive,I would like to report a problem where the application becomes unresponsive.,Application,Restart the application and check whether the problem continues.,High
Unable to resolve: our application cannot retrieve database records,This started happening today: our application cannot retrieve database records.,Database,Verify database availability and investigate slow-running queries.,High
Issue reported: i cannot save files to the shared drive,Our team is facing the following issue: I cannot save files to the shared drive.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Support required: the company application suddenly stopped working,Can someone help me resolve this? the company application suddenly stopped working.,Application,Verify the application configuration and escalate to application support if required.,Medium
Issue reported: the server connection keeps timing out,I am having trouble because the server connection keeps timing out.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Support required: the office internet connection is very slow,Can someone help me resolve this? the office internet connection is very slow.,Network,Verify VPN settings and escalate to network support if required.,Medium
Unable to resolve: the vpn connection keeps dropping,Can someone help me resolve this? the VPN connection keeps dropping.,Network,Verify VPN settings and escalate to network support if required.,High
I need my account access restored,This started happening today: I need my account access restored.,Access Management,Reset the password and verify account access.,Medium
Issue reported: files cannot be uploaded to the storage system,I need technical support because files cannot be uploaded to the storage system.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Issue reported: i am concerned about unauthorized activity,I need technical support because I am concerned about unauthorized activity.,Security,Report the suspicious activity to the security team immediately.,High
Problem with database queries are taking too long,I need technical support because database queries are taking too long.,Database,Check database connectivity and review the database server logs.,Medium
My computer may have malware,"I have been trying to fix this, but my computer may have malware.",Security,Report the suspicious activity to the security team immediately.,Low
Unable to resolve: storage capacity has been exhausted,Please help me. storage capacity has been exhausted.,Storage,Check available storage and remove unnecessary files if appropriate.,High
Problem with i cannot access the company database,I would like to report a problem where I cannot access the company database.,Database,Verify database availability and investigate slow-running queries.,Medium
The system reports insufficient disk space,Something appears to be wrong because the system reports insufficient disk space.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
Issue reported: remote access to the company network is not working,"I have been trying to fix this, but remote access to the company network is not working.",Network,Restart the VPN client and verify the network connection.,Low
Unable to resolve: remote access to the company network is not working,Our team is facing the following issue: remote access to the company network is not working.,Network,Check network connectivity and restart the network adapter.,Medium
Support required: i noticed a suspicious login on my account,Something appears to be wrong because I noticed a suspicious login on my account.,Security,Disconnect the affected device from the network and contact Security Operations.,Low
Problem with the internal server is unavailable,Please help me. the internal server is unavailable.,Infrastructure,Verify server availability and restart the affected service if required.,Low
Unable to resolve: the company server is not responding,I need assistance with this problem: the company server is not responding.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Support required: our application cannot retrieve database records,This issue is preventing me from working: our application cannot retrieve database records.,Database,Verify database availability and investigate slow-running queries.,High
Problem with the shared drive is unavailable,Our team is facing the following issue: the shared drive is unavailable.,Storage,Verify storage connectivity and available disk capacity.,Medium
Support required: the company server is not responding,Can someone help me resolve this? the company server is not responding.,Infrastructure,Check server health and review the infrastructure logs.,Low
Issue reported: the infrastructure service is extremely slow,Can someone help me resolve this? the infrastructure service is extremely slow.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Problem with the business application keeps crashing,I need assistance with this problem: the business application keeps crashing.,Application,Verify the application configuration and escalate to application support if required.,Low
One of our business applications is behaving incorrectly,This issue is preventing me from working: one of our business applications is behaving incorrectly.,Application,Verify the application configuration and escalate to application support if required.,Low
Issue reported: the application will not open,Can someone help me resolve this? the application will not open.,Application,Check the application logs and install the latest available update.,Low
I need my account access restored,I would like to report a problem where I need my account access restored.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Unable to resolve: new files cannot be saved because storage is full,Our team is facing the following issue: new files cannot be saved because storage is full.,Storage,Check storage permissions and escalate to storage support if needed.,High
Support required: the server connection keeps timing out,I need assistance with this problem: the server connection keeps timing out.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Issue reported: the internal system cannot be reached,I need assistance with this problem: the internal system cannot be reached.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,High
Problem with database queries are taking too long,I am having trouble because database queries are taking too long.,Database,Check database permissions and escalate to database support if required.,High
Unable to resolve: the software freezes whenever i use it,This started happening today: the software freezes whenever I use it.,Application,Verify the application configuration and escalate to application support if required.,High
Issue reported: an internal service has stopped working,Our team is facing the following issue: an internal service has stopped working.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Unable to resolve: i received an email that looks like a phishing attempt,Can someone help me resolve this? I received an email that looks like a phishing attempt.,Security,Report the suspicious activity to the security team immediately.,Low
Problem with i need access to an internal system,I am unable to continue my work because I need access to an internal system.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Problem with i need my account access restored,Can someone help me resolve this? I need my account access restored.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Issue reported: remote access to the company network is not working,This started happening today: remote access to the company network is not working.,Network,Restart the VPN client and verify the network connection.,High
Support required: i need access to an internal system,Please help me. I need access to an internal system.,Access Management,Verify access permissions and escalate to access management if required.,Low
Support required: someone may have accessed my account without permission,This started happening today: someone may have accessed my account without permission.,Security,Disconnect the affected device from the network and contact Security Operations.,High
My login credentials are not working,This started happening today: my login credentials are not working.,Access Management,Reset the password and verify account access.,Medium
My existing account does not have the required access,I need technical support because my existing account does not have the required access.,Access Management,Verify access permissions and escalate to access management if required.,Low
Support required: the company server is not responding,I need assistance with this problem: the company server is not responding.,Infrastructure,Check server health and review the infrastructure logs.,High
The disk is running out of space,Please help me. the disk is running out of space.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Problem with the database connection drops unexpectedly,Our team is facing the following issue: the database connection drops unexpectedly.,Database,Verify database availability and investigate slow-running queries.,Low
Unable to resolve: someone may have accessed my account without permission,I am having trouble because someone may have accessed my account without permission.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Unable to resolve: i accidentally clicked a suspicious link,I need assistance with this problem: I accidentally clicked a suspicious link.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Support required: the company vpn is not connecting,I need assistance with this problem: the company VPN is not connecting.,Network,Check network connectivity and restart the network adapter.,Low
Issue reported: someone may have accessed my account without permission,Our team is facing the following issue: someone may have accessed my account without permission.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
The shared drive is unavailable,This issue is preventing me from working: the shared drive is unavailable.,Storage,Check storage permissions and escalate to storage support if needed.,Medium
Problem with records are not loading from the database,"I have been trying to fix this, but records are not loading from the database.",Database,Check database permissions and escalate to database support if required.,Medium
Support required: the disk is running out of space,Something appears to be wrong because the disk is running out of space.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
The system reports insufficient disk space,I would like to report a problem where the system reports insufficient disk space.,Storage,Check available storage and remove unnecessary files if appropriate.,High
Problem with the company-hosted service is not responding,"I have been trying to fix this, but the company-hosted service is not responding.",Infrastructure,Check server health and review the infrastructure logs.,Medium
Problem with i am unable to connect to internal network resources,I need technical support because I am unable to connect to internal network resources.,Network,Verify VPN settings and escalate to network support if required.,High
Support required: my device is showing signs of malicious activity,This started happening today: my device is showing signs of malicious activity.,Security,Report the suspicious activity to the security team immediately.,Medium
Issue reported: i need access to an internal system,Can someone help me resolve this? I need access to an internal system.,Access Management,Reset the password and verify account access.,High
Problem with wi-fi keeps disconnecting,I am having trouble because Wi-Fi keeps disconnecting.,Network,Restart the VPN client and verify the network connection.,High
Support required: i need permission to access a company application,Something appears to be wrong because I need permission to access a company application.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Issue reported: remote access to the company network is not working,I would like to report a problem where remote access to the company network is not working.,Network,Restart the VPN client and verify the network connection.,Medium
Support required: i cannot complete my work because the application keeps failing,Our team is facing the following issue: I cannot complete my work because the application keeps failing.,Application,Restart the application and check whether the problem continues.,Low
Issue reported: i think my account may have been compromised,This issue is preventing me from working: I think my account may have been compromised.,Security,"Secure the account, change the password, and contact Security Operations.",High
Problem with the application becomes unresponsive,I need technical support because the application becomes unresponsive.,Application,Check the application logs and install the latest available update.,Medium
Issue reported: storage capacity has been exhausted,This issue is preventing me from working: storage capacity has been exhausted.,Storage,Check storage permissions and escalate to storage support if needed.,Medium
Unable to resolve: the corporate network is unreachable,"I have been trying to fix this, but the corporate network is unreachable.",Network,Verify VPN settings and escalate to network support if required.,High
Problem with i noticed a suspicious login on my account,This started happening today: I noticed a suspicious login on my account.,Security,Report the suspicious activity to the security team immediately.,Medium
Unable to resolve: someone may have accessed my account without permission,Something appears to be wrong because someone may have accessed my account without permission.,Security,"Secure the account, change the password, and contact Security Operations.",Low
An internal service has stopped working,"I have been trying to fix this, but an internal service has stopped working.",Infrastructure,Verify server availability and restart the affected service if required.,Medium
Issue reported: files cannot be uploaded to the storage system,I would like to report a problem where files cannot be uploaded to the storage system.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Unable to resolve: the database connection drops unexpectedly,"I have been trying to fix this, but the database connection drops unexpectedly.",Database,Check database permissions and escalate to database support if required.,Medium
Issue reported: i forgot my password,I am having trouble because I forgot my password.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Support required: my existing account does not have the required access,This started happening today: my existing account does not have the required access.,Access Management,Verify access permissions and escalate to access management if required.,High
Problem with i accidentally clicked a suspicious link,Please help me. I accidentally clicked a suspicious link.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Unable to resolve: remote access to the company network is not working,I would like to report a problem where remote access to the company network is not working.,Network,Verify VPN settings and escalate to network support if required.,High
Issue reported: the internal server keeps disconnecting,I am unable to continue my work because the internal server keeps disconnecting.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Problem with i accidentally clicked a suspicious link,I need assistance with this problem: I accidentally clicked a suspicious link.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Support required: someone may have accessed my account without permission,Our team is facing the following issue: someone may have accessed my account without permission.,Security,Report the suspicious activity to the security team immediately.,Medium
Problem with a business server is currently offline,This started happening today: a business server is currently offline.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Problem with records are not loading from the database,I would like to report a problem where records are not loading from the database.,Database,Check database connectivity and review the database server logs.,High
Support required: the internal system cannot be reached,I need assistance with this problem: the internal system cannot be reached.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Unable to resolve: the application is extremely slow,I need technical support because the application is extremely slow.,Application,Restart the application and check whether the problem continues.,Low
Unable to resolve: i cannot complete my work because the application keeps failing,I am unable to continue my work because I cannot complete my work because the application keeps failing.,Application,Verify the application configuration and escalate to application support if required.,Low
Problem with i accidentally clicked a suspicious link,Please help me. I accidentally clicked a suspicious link.,Security,Disconnect the affected device from the network and contact Security Operations.,Low
Unable to resolve: the application displays an unexpected error,Can someone help me resolve this? the application displays an unexpected error.,Application,Verify the application configuration and escalate to application support if required.,Low
Problem with someone may have accessed my account without permission,I would like to report a problem where someone may have accessed my account without permission.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Problem with the system reports insufficient disk space,Something appears to be wrong because the system reports insufficient disk space.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
Problem with the server connection keeps timing out,This issue is preventing me from working: the server connection keeps timing out.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Low
Issue reported: i forgot my password,I need technical support because I forgot my password.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Support required: i cannot complete my work because the application keeps failing,"I have been trying to fix this, but I cannot complete my work because the application keeps failing.",Application,Verify the application configuration and escalate to application support if required.,Medium
Issue reported: i received an email that looks like a phishing attempt,I would like to report a problem where I received an email that looks like a phishing attempt.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Problem with the application becomes unresponsive,I am having trouble because the application becomes unresponsive.,Application,Check the application logs and install the latest available update.,Low
Unable to resolve: the company vpn is not connecting,Our team is facing the following issue: the company VPN is not connecting.,Network,Verify VPN settings and escalate to network support if required.,Low
The company application suddenly stopped working,This started happening today: the company application suddenly stopped working.,Application,Check the application logs and install the latest available update.,High
Unable to resolve: the disk is running out of space,This started happening today: the disk is running out of space.,Storage,Check storage permissions and escalate to storage support if needed.,Medium
I cannot complete my work because the application keeps failing,I am having trouble because I cannot complete my work because the application keeps failing.,Application,Check the application logs and install the latest available update.,Low
Problem with the business application keeps crashing,I am having trouble because the business application keeps crashing.,Application,Check the application logs and install the latest available update.,Medium
Problem with the network connection keeps failing,I would like to report a problem where the network connection keeps failing.,Network,Check network connectivity and restart the network adapter.,High
Support required: the internal server is unavailable,I am unable to continue my work because the internal server is unavailable.,Infrastructure,Check server health and review the infrastructure logs.,Medium
I think my account may have been compromised,This started happening today: I think my account may have been compromised.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
The company application suddenly stopped working,Our team is facing the following issue: the company application suddenly stopped working.,Application,Restart the application and check whether the problem continues.,Medium
Issue reported: there is unusual activity on my account,I would like to report a problem where there is unusual activity on my account.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Issue reported: new files cannot be saved because storage is full,Our team is facing the following issue: new files cannot be saved because storage is full.,Storage,Verify storage connectivity and available disk capacity.,Medium
Support required: there is unusual activity on my account,This started happening today: there is unusual activity on my account.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Records are not loading from the database,I need technical support because records are not loading from the database.,Database,Verify database availability and investigate slow-running queries.,High
Problem with the office internet connection is very slow,Please help me. the office internet connection is very slow.,Network,Verify VPN settings and escalate to network support if required.,Medium
Problem with database performance has suddenly become very slow,This issue is preventing me from working: database performance has suddenly become very slow.,Database,Check database connectivity and review the database server logs.,High
Unable to resolve: an internal service has stopped working,I need technical support because an internal service has stopped working.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Support required: storage capacity has been exhausted,Our team is facing the following issue: storage capacity has been exhausted.,Storage,Check available storage and remove unnecessary files if appropriate.,High
Support required: i forgot my password,Please help me. I forgot my password.,Access Management,Unlock the account and confirm the user's permissions.,Low
Unable to resolve: remote access to the company network is not working,Something appears to be wrong because remote access to the company network is not working.,Network,Restart the VPN client and verify the network connection.,Medium
Problem with i received an email that looks like a phishing attempt,I am unable to continue my work because I received an email that looks like a phishing attempt.,Security,Report the suspicious activity to the security team immediately.,Low
Our storage space is nearly full,"I have been trying to fix this, but our storage space is nearly full.",Storage,Check storage permissions and escalate to storage support if needed.,Medium
I need my account access restored,"I have been trying to fix this, but I need my account access restored.",Access Management,Unlock the account and confirm the user's permissions.,Medium
Issue reported: the company vpn is not connecting,Can someone help me resolve this? the company VPN is not connecting.,Network,Restart the VPN client and verify the network connection.,Low
Issue reported: the vpn connection keeps dropping,Our team is facing the following issue: the VPN connection keeps dropping.,Network,Check network connectivity and restart the network adapter.,Medium
New files cannot be saved because storage is full,Something appears to be wrong because new files cannot be saved because storage is full.,Storage,Verify storage connectivity and available disk capacity.,Medium
Support required: the company-hosted service is not responding,Can someone help me resolve this? the company-hosted service is not responding.,Infrastructure,Check server health and review the infrastructure logs.,Low
Support required: a business server is currently offline,This started happening today: a business server is currently offline.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Problem with i think my account may have been compromised,I am unable to continue my work because I think my account may have been compromised.,Security,Disconnect the affected device from the network and contact Security Operations.,Low
Problem with the company-hosted service is not responding,I need assistance with this problem: the company-hosted service is not responding.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Support required: the network connection keeps failing,Something appears to be wrong because the network connection keeps failing.,Network,Check network connectivity and restart the network adapter.,Medium
Support required: i received a suspicious attachment,Please help me. I received a suspicious attachment.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
